header,section,header_id,section_id,content,section_es,content_es,src_url,kb_url,kb_url_es,header_es
Grade,Section A: Information/Eligibility,grade,A,"Grade simply refers to which level of school your child is currently in, like kindergarten, first grade, second grade, and so on. This information is important for the school to understand where your child is at in their education journey.",Sección A: Información/Elegibilidad,"El grado simplemente se refiere al nivel de la escuela en el que se encuentra actualmente su hijo, como jardín de infantes, primer grado, segundo grado, etc. Esta información es importante para que la escuela comprenda en qué punto se encuentra su hijo en su trayectoria educativa.",https://rcselpa.org/uploads/files/files/IEP%20Manual%2007-22.pdf#page=49,https://iep-kb-24839890c1f5.herokuapp.com/kb/A/grade,https://iep-kb-24839890c1f5.herokuapp.com/es/kb/A/grade,Grado
"Migrant: Yes, No",Section A: Information/Eligibility,"migrant:_yes,_no",A,"Migrant means moving from one place to another for work or other reasons. If someone is a migrant, they may move to different locations for jobs or opportunities. Is your answer Yes or No to whether you are a migrant?",Sección A: Información/Elegibilidad,"Migrante significa trasladarse de un lugar a otro por motivos laborales o de otro tipo. Si alguien es migrante, es posible que se mude a diferentes lugares en busca de trabajo u oportunidades. ¿Su respuesta es sí o no a si es migrante?",https://rcselpa.org/uploads/files/files/IEP%20Manual%2007-22.pdf#page=83,"https://iep-kb-24839890c1f5.herokuapp.com/kb/A/migrant:_yes,_no","https://iep-kb-24839890c1f5.herokuapp.com/es/kb/A/migrant:_yes,_no","Migrante: Sí, no"
Native Language,Section A: Information/Eligibility,native_language,A,"Native Language refers to the language that a student speaks at home or is most comfortable with. It is important to identify the student's native language to ensure they receive appropriate support and services in school. If a student is learning English as a second language, their native language may still play a significant role in their education.",Sección A: Información/Elegibilidad,"La lengua materna se refiere al idioma que un estudiante habla en casa o con el que se siente más cómodo. Es importante identificar el idioma materno del estudiante para garantizar que reciba el apoyo y los servicios adecuados en la escuela. Si un estudiante está aprendiendo inglés como segundo idioma, su lengua materna puede seguir desempeñando un papel importante en su educación.",https://rcselpa.org/uploads/files/files/IEP%20Manual%2007-22.pdf#page=43,https://iep-kb-24839890c1f5.herokuapp.com/kb/A/native_language,https://iep-kb-24839890c1f5.herokuapp.com/es/kb/A/native_language,Lengua materna
"English Learner: Yes, No",Section A: Information/Eligibility,"english_learner:_yes,_no",A,"English Learner means a student who is still learning English as a second language. In the paperwork, you need to say ""Yes"" if your child is an English Learner, which means they are still learning English, or ""No"" if they are not.",Sección A: Información/Elegibilidad,"Estudiante de inglés significa un estudiante que todavía está aprendiendo inglés como segundo idioma. En la documentación, debe decir «Sí» si su hijo está aprendiendo inglés, lo que significa que todavía está aprendiendo inglés, o «No» si no lo está haciendo.",https://rcselpa.org/uploads/files/files/IEP%20Manual%2007-22.pdf#page=43,"https://iep-kb-24839890c1f5.herokuapp.com/kb/A/english_learner:_yes,_no","https://iep-kb-24839890c1f5.herokuapp.com/es/kb/A/english_learner:_yes,_no","Estudiante de inglés: Sí, no"
"Redesignated: Standard Reclassification, Individualized Reclassification",Section A: Information/Eligibility,"redesignated:_standard_reclassification,_individualized_reclassification",A,"Redesignated means changed or moved to a different group. In the context of an Individualized Education Plan (IEP), it could refer to when a student is moved from being classified as an English Learner to being classified as Fluent in English, which means they no longer need special language support. It's like saying the student has improved their English skills enough to not need extra help anymore.",Sección A: Información/Elegibilidad,"Redesignado significa que se cambió o se trasladó a un grupo diferente. En el contexto de un plan educativo individualizado (IEP), podría referirse a cuando un estudiante pasa de ser clasificado como estudiante de inglés a ser clasificado como estudiante que habla inglés con fluidez, lo que significa que ya no necesita apoyo lingüístico especial. Es como decir que el estudiante ha mejorado sus conocimientos de inglés lo suficiente como para no necesitar más ayuda.",https://rcselpa.org/uploads/files/files/IEP%20Manual%2007-22.pdf#page=52,"https://iep-kb-24839890c1f5.herokuapp.com/kb/A/redesignated:_standard_reclassification,_individualized_reclassification","https://iep-kb-24839890c1f5.herokuapp.com/es/kb/A/redesignated:_standard_reclassification,_individualized_reclassification","Redesignado: reclasificación estándar, reclasificación individualizada"
"Interpreter: Yes, No",Section A: Information/Eligibility,"interpreter:_yes,_no",A,"Interpreter: Yes, No
**Description**: An interpreter is a person who helps translate and explain things in a different language.

- If an interpreter is needed during the meeting, choose ""Yes."" If not needed, choose ""No.""
- If the parent requests to have the IEP translated into their native language, choose ""Yes."" Otherwise, choose ""No.""

**How to respond**:
- Check ""Yes"" if an interpreter is used during the meeting or if a translation of the IEP is requested. Check ""No"" if no interpreter is used or no translation is needed.",Sección A: Información/Elegibilidad,"Intérprete: Sí, no
**Descripción**: Un intérprete es una persona que ayuda a traducir y explicar cosas en un idioma diferente.

- Si se necesita un intérprete durante la reunión, elija «Sí». Si no es necesario, elija «No».
- Si el padre solicita que se traduzca el IEP a su idioma nativo, elija «Sí». De lo contrario, elija «No».

**Cómo responder**:
- Marque «Sí» si se utiliza un intérprete durante la reunión o si se solicita una traducción del IEP. Marque «No» si no se utiliza un intérprete o no se necesita una traducción.",https://rcselpa.org/uploads/files/files/IEP%20Manual%2007-22.pdf#page=59,"https://iep-kb-24839890c1f5.herokuapp.com/kb/A/interpreter:_yes,_no","https://iep-kb-24839890c1f5.herokuapp.com/es/kb/A/interpreter:_yes,_no","Intérprete: Sí, no"
Student ID,Section A: Information/Eligibility,student_id,A,A student ID is a number that schools give to each student. It helps the school keep track of that student's information. It's like a special code just for that student. You will see this number on forms and documents related to the student's education.,Sección A: Información/Elegibilidad,La identificación de estudiante es un número que las escuelas le dan a cada estudiante. Ayuda a la escuela a llevar un registro de la información de ese estudiante. Es como un código especial solo para ese estudiante. Verás este número en los formularios y documentos relacionados con la educación del estudiante.,https://rcselpa.org/uploads/files/files/IEP%20Manual%2007-22.pdf#page=74,https://iep-kb-24839890c1f5.herokuapp.com/kb/A/student_id,https://iep-kb-24839890c1f5.herokuapp.com/es/kb/A/student_id,ID de estudiante
Social Security Number (SSN),Section A: Information/Eligibility,social_security_number_,A,"A Social Security Number (SSN) is a special number given to people by the government. It helps keep track of important information about a person, like their school records and medical history. It's kind of like a secret code that only you and the government know to keep your information safe.",Sección A: Información/Elegibilidad,"Un número de seguro social (SSN) es un número especial que el gobierno otorga a las personas. Ayuda a llevar un registro de la información importante sobre una persona, como sus registros escolares y su historial médico. Es como un código secreto que solo tú y el gobierno conocen para mantener tu información segura.",https://rcselpa.org/uploads/files/files/IEP%20Manual%2007-22.pdf#page=115,https://iep-kb-24839890c1f5.herokuapp.com/kb/A/social_security_number,https://iep-kb-24839890c1f5.herokuapp.com/es/kb/A/social_security_number,Número de seguro social (SSN)
Statewide Student ID (SSID),Section A: Information/Eligibility,statewide_student_id_,A,"A Student Statewide ID (SSID) is a special number given by the State to identify a student in the education system. It's like a unique code that helps keep track of each student. This number is important for things like making sure students get the right services and support they need. Each student has their own SSID, kind of like a student ID card that the State provides to keep everything organized.",Sección A: Información/Elegibilidad,"La identificación estatal de estudiante (SSID) es un número especial que otorga el estado para identificar a un estudiante en el sistema educativo. Es como un código único que ayuda a hacer un seguimiento de cada estudiante. Este número es importante para garantizar que los estudiantes reciban los servicios y el apoyo correctos que necesitan. Cada estudiante tiene su propio SSID, algo así como una tarjeta de identificación de estudiante que el estado proporciona para mantener todo organizado.",https://rcselpa.org/uploads/files/files/IEP%20Manual%2007-22.pdf#page=49,https://iep-kb-24839890c1f5.herokuapp.com/kb/A/statewide_student_id,https://iep-kb-24839890c1f5.herokuapp.com/es/kb/A/statewide_student_id,Identificación de estudiante estatal (SSID)
Residency,Section A: Information/Eligibility,residency,A,"Residency means where the student lives and goes to school. It can be in the same district where the parents live, or in a different district if there are special circumstances. The district where the student gets special education services is called the ""District of Special Education Accountability"" and can be based on where the student lives or other factors like attending a charter school or being in a specific facility. The ""Residence School"" is just the neighborhood school where the student would normally go.",Sección A: Información/Elegibilidad,"Residencia significa dónde vive el estudiante y dónde va a la escuela. Puede ser en el mismo distrito donde viven los padres o en un distrito diferente si existen circunstancias especiales. El distrito en el que el estudiante recibe los servicios de educación especial se denomina «Distrito de Responsabilidad en materia de Educación Especial» y puede depender del lugar donde vive el estudiante o de otros factores, como asistir a una escuela autónoma o estar en un centro específico. La «escuela residente» es simplemente la escuela del vecindario a la que normalmente iría el estudiante.",https://rcselpa.org/uploads/files/files/IEP%20Manual%2007-22.pdf#page=142,https://iep-kb-24839890c1f5.herokuapp.com/kb/A/residency,https://iep-kb-24839890c1f5.herokuapp.com/es/kb/A/residency,Residencia
Parent/Guardian,Section A: Information/Eligibility,parent_guardian,A,An Individualized Education Plan (IEP) is a special plan made for kids with unique needs in school. Parents or guardians work with the school to make this plan. The plan includes goals and special help for the child to learn better. It's important for parents to be involved in the IEP meetings to make sure the plan fits the child's needs.,Sección A: Información/Elegibilidad,Un Plan Educativo Individualizado (IEP) es un plan especial diseñado para niños con necesidades únicas en la escuela. Los padres o tutores trabajan con la escuela para elaborar este plan. El plan incluye metas y ayuda especial para que el niño aprenda mejor. Es importante que los padres participen en las reuniones del IEP para asegurarse de que el plan se ajuste a las necesidades del niño.,https://seisprodtableswest.blob.core.windows.net/trainingmanual-storage/2416f43c-e7b7-4e28-a796-6b9789828c18.pdf#page=9,https://iep-kb-24839890c1f5.herokuapp.com/kb/A/parent/guardian,https://iep-kb-24839890c1f5.herokuapp.com/es/kb/A/parent/guardian,Padre/tutor
District of Residence,Section A: Information/Eligibility,district_of_residence,A,"District of Residence refers to the district where a student lives. It's important for the school to know this information to provide the right support and services. The District of Residence could be where the student's parents or guardians live, or it could be a different district in certain situations, like if the student attends a charter school or is in a specific program. Knowing the District of Residence helps make sure the student gets the help they need at school.",Sección A: Información/Elegibilidad,"El distrito de residencia se refiere al distrito en el que vive un estudiante. Es importante que la escuela conozca esta información para brindar el apoyo y los servicios adecuados. El distrito de residencia puede ser el lugar donde viven los padres o tutores del estudiante, o puede ser un distrito diferente en ciertas situaciones, por ejemplo, si el estudiante asiste a una escuela autónoma o si está en un programa específico. Conocer el distrito de residencia ayuda a garantizar que el estudiante reciba la ayuda que necesita en la escuela.",https://seisprodtableswest.blob.core.windows.net/trainingmanual-storage/2416f43c-e7b7-4e28-a796-6b9789828c18.pdf#page=29,https://iep-kb-24839890c1f5.herokuapp.com/kb/A/district_of_residence,https://iep-kb-24839890c1f5.herokuapp.com/es/kb/A/district_of_residence,Distrito de residencia
Residence School,Section A: Information/Eligibility,residence_school,A,"A Residence School is the school that a student would normally attend based on where they live. It's usually the neighborhood school that is closest to their home. It's important for the school district to know the Residence School because it helps determine which district is responsible for providing special education services to the student. If a student goes to a different school than their Residence School, there are specific rules that apply to make sure they still get the services they need.",Sección A: Información/Elegibilidad,"Una escuela residente es la escuela a la que normalmente asistiría un estudiante según el lugar donde viva. Por lo general, es la escuela del vecindario más cercana a su hogar. Es importante que el distrito escolar conozca la escuela de residencia porque ayuda a determinar qué distrito es responsable de brindar los servicios de educación especial al estudiante. Si un estudiante asiste a una escuela diferente a la de su escuela de residencia, existen reglas específicas que se aplican para garantizar que siga recibiendo los servicios que necesita.",https://rcselpa.org/uploads/files/files/IEP%20Manual%2007-22.pdf#page=26,https://iep-kb-24839890c1f5.herokuapp.com/kb/A/residence_school,https://iep-kb-24839890c1f5.herokuapp.com/es/kb/A/residence_school,Escuela de residencia
Ethnicity,Section A: Information/Eligibility,ethnicity,A,"Sure! Ethnicity is about what cultural background you come from. It could be Hispanic or Latino, or it could be something else like African American or Asian. It's just a way to describe where your family is from.",Sección A: Información/Elegibilidad,"¡Claro! La etnia tiene que ver con el origen cultural del que vienes. Puede ser hispano o latino, o puede ser algo diferente, como afroamericano o asiático. Es solo una forma de describir el lugar de origen de su familia.",https://drive.google.com/file/d/1au51uKAY-6t1Sabx47W3eCJkBBDn10ns/view#page=2,https://iep-kb-24839890c1f5.herokuapp.com/kb/A/ethnicity,https://iep-kb-24839890c1f5.herokuapp.com/es/kb/A/ethnicity,Etnia
Race,Section A: Information/Eligibility,race,A,"Race refers to a category that describes what group of people someone belongs to. There are different options to choose from like American Indian, Chinese, Japanese, Korean, Vietnamese, Asian Indian, Laotian, Cambodian, Hmong, and more. It's important to choose the one that best fits the student.",Sección A: Información/Elegibilidad,"La raza se refiere a una categoría que describe a qué grupo de personas pertenece alguien. Hay diferentes opciones para elegir, como indios americanos, chinos, japoneses, coreanos, vietnamitas, indios asiáticos, laosianos, camboyanos, hmong y más. Es importante elegir la que mejor se adapte al estudiante.",https://drive.google.com/file/d/1au51uKAY-6t1Sabx47W3eCJkBBDn10ns/view#page=36,https://iep-kb-24839890c1f5.herokuapp.com/kb/A/race,https://iep-kb-24839890c1f5.herokuapp.com/es/kb/A/race,Raza
"Indicate Disabilities: Primary, Secondary, *Low Incidence Disability, Not Eligible for Special Education, Exiting from Special Education",Section A: Information/Eligibility,"indicate_disabilities:_primary,_secondary,_*low_incidence_disability,_not_eligible_for_special_education,_exiting_from_special_education",A,"I'm going to explain the terms in a simple way:

- **Primary Disability**: The main problem that makes it hard for the student to learn in a regular class.
- **Secondary Disability**: Another difficulty the student has but not the main one.
- **Low Incidence Disability**: A rare condition that affects learning (like being deaf or blind).
- **Not Eligible for Special Education**: The student doesn't qualify for extra help in school.
- **Exiting from Special Education**: The student is finishing or leaving the extra help they were getting.

Let me know if you need more help or explanation!",Sección A: Información/Elegibilidad,"Voy a explicar los términos de una manera sencilla:

- **Discapacidad primaria**: El principal problema que dificulta que el estudiante aprenda en una clase normal.
- **Discapacidad secundaria**: Otra dificultad que tiene el estudiante, pero no la principal.
- **Discapacidad de baja incidencia**: una afección poco frecuente que afecta el aprendizaje (como la sordera o la ceguera).
- **No reúne los requisitos para recibir educación especial**: El estudiante no reúne los requisitos para recibir ayuda adicional en la escuela.
- **Finalización de la educación especial**: El estudiante está terminando o abandonando la ayuda adicional que estaba recibiendo.

¡Avísame si necesitas más ayuda o explicación!",https://seisprodtableswest.blob.core.windows.net/trainingmanual-storage/2416f43c-e7b7-4e28-a796-6b9789828c18.pdf#page=2,"https://iep-kb-24839890c1f5.herokuapp.com/kb/A/indicate_disabilities:_primary,_secondary,_*low_incidence_disability,_not_eligible_for_special_education,_exiting_from_special_education","https://iep-kb-24839890c1f5.herokuapp.com/es/kb/A/indicate_disabilities:_primary,_secondary,_*low_incidence_disability,_not_eligible_for_special_education,_exiting_from_special_education","Indicar discapacidades: primaria, secundaria, *Discapacidad de baja incidencia, no elegible para la educación especial, abandono de la educación especial"
"Describe How Student's Disability Affects Involvement and Progress in General Curriculum (Or for Preschoolers, Participation in Appropriate Activities)",Section A: Information/Eligibility,describe_how_student's_disability_affects_involvement_and_progress_in_general_curriculum_,A,"When a student has a disability, it can make it harder for them to learn and keep up with their classmates in school. This might mean they struggle with certain subjects or activities. For example, they might forget what they learned after a school break or have a hard time learning new skills. They may need extra help or special services to succeed in school. The school team will figure out the best plan for the student based on their needs and abilities.",Sección A: Información/Elegibilidad,"Cuando un estudiante tiene una discapacidad, puede hacer que le resulte más difícil aprender y mantenerse al día con sus compañeros de clase en la escuela. Esto puede significar que tiene dificultades con ciertas materias o actividades. Por ejemplo, es posible que olviden lo que aprendieron después de un receso escolar o que tengan dificultades para aprender nuevas habilidades. Es posible que necesiten ayuda adicional o servicios especiales para tener éxito en la escuela. El equipo de la escuela determinará el mejor plan para el estudiante en función de sus necesidades y habilidades.",https://rcselpa.org/uploads/files/files/IEP%20Manual%2007-22.pdf#page=83,https://iep-kb-24839890c1f5.herokuapp.com/kb/A/describe_how_student's_disability_affects_involvement_and_progress_in_general_curriculum,https://iep-kb-24839890c1f5.herokuapp.com/es/kb/A/describe_how_student's_disability_affects_involvement_and_progress_in_general_curriculum,"Describa cómo la discapacidad del estudiante afecta la participación y el progreso en el plan de estudios general (o, en el caso de los niños en edad preescolar, la participación en las actividades apropiadas)"
Strengths/Preferences/Interests,Section B: Present Levels of Academic Achievement and Functional Performance,strengths_preferences_interests,B,"In this section of the IEP, we want to know what your child is good at, what they like to do, and what they are interested in. This helps us understand how to help them reach their goals in school. It's important to think about what your child is good at, what they prefer, and what they enjoy doing. This helps us create a plan that suits your child's strengths and interests. During this part of the meeting, we discuss your child's strengths, preferences, and interests, and make any changes needed to help your child succeed in school.",Sección B: Niveles actuales de logro académico y desempeño funcional,"En esta sección del IEP, queremos saber en qué es bueno su hijo, qué le gusta hacer y qué es lo que le interesa. Esto nos ayuda a entender cómo ayudarlo a alcanzar sus metas en la escuela. Es importante que piense en qué es bueno su hijo, qué prefiere y qué es lo que le gusta hacer. Esto nos ayuda a crear un plan que se adapte a las fortalezas e intereses de su hijo. Durante esta parte de la reunión, analizamos las fortalezas, preferencias e intereses de su hijo y hacemos los cambios necesarios para ayudarlo a tener éxito en la escuela.",https://rcselpa.org/uploads/files/files/IEP%20Manual%2007-22.pdf#page=137,https://iep-kb-24839890c1f5.herokuapp.com/kb/B/strengths/preferences/interests,https://iep-kb-24839890c1f5.herokuapp.com/es/kb/B/strengths/preferences/interests,"Fortalezas, preferencias e intereses"
